"","X","cgrade","clean_school_id","LET_performance","pse_performance","gmc_performance","lnc_performance","rao_performance","dgs_performance","nwr_performance","srt_performance","nre_performance","wre_performance","del_performance","ble_performance","evo_performance","reading_outcome_LW","percent_frpm","LET_performance_z","pse_performance_z","gmc_performance_z","reading_outcome_LW_z","rao_performance_z","dgs_performance_z","nwr_performance_z","srt_performance_z","del_performance_z","lnc_performance_z","ble_performance_z","nre_performance_z","wre_performance_z","evo_performance_z","percent_frpm_z"
"1",1,0,1,-0.284211832610269,-0.371170421157272,0.0855423066935042,20,26,4,-0.888,2.0098,NA,NA,-0.9551,-0.9995,NA,79,0.89,-0.678184540579339,-1.29937741001471,-0.00902762063746383,-1.32366750036521,-1.54563573585604,-2.17254835905335,-1.78238864869931,3.24020546783438,-1.12757350243051,-1.78133149410543,-0.283179547585463,NA,NA,NA,1.14546730094307
"2",2,0,3,0.310586223021706,0.299503379600462,1.13520653634655,35.5,34.5,7.5,-0.5867,-0.67805,NA,NA,-0.576,-0.6782,NA,92,0.6,0.650160476017803,0.505535241840935,1.88935386208222,0.351177091933627,0.156900387873075,0.419696842089851,-1.21332420838222,0.021177943975139,-0.554556404576117,1.46697887749859,0.337927915636582,NA,NA,NA,-0.35843517406341
"3",3,0,4,-0.0257012952921795,0.447045815253846,0.0408944106446714,36.5,36,8,0.2755,-0.6209,NA,NA,-0.3049,-0.4606,NA,94,0.47,-0.100860555181505,0.902600414948217,-0.0897760511422488,0.608845490748833,0.457347939119391,0.790017585110308,0.415110442933367,0.0896220249277799,-0.144783428505618,1.67654728856982,0.758572123532993,NA,NA,NA,-1.03259835251459
"4",4,0,5,-0.829830236589961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,-1.89669808652568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4566195371513
"5",5,0,6,-0.503442842262349,-0.352502430036172,-0.505488886904608,26,30,7,-0.5776,-1.13175,NA,NA,-0.576,-1.3621,NA,82,0.66,-1.16778671126143,-1.24913824259661,-1.07794341479312,-0.937164902142404,-0.74444226586587,0.0493760990693941,-1.19613706464878,-0.522183027647138,-0.554556404576117,-0.523921027678068,-0.984124353574612,NA,NA,NA,-0.0472829378551728
"6",6,0,8,-0.40959811880857,-0.0748890216829784,0.735846894602697,36,30,6,0.2781,-0.234,NA,NA,-0.3049,-0.6395,NA,98,0.47,-0.958206048457621,-0.502026975546465,1.16708770552024,1.12418228837925,-0.74444226586587,-0.69126538697152,0.420021055428636,0.552981866057732,-0.144783428505618,1.5717630830342,0.412739178713747,NA,NA,NA,-1.03259835251459
"7",7,0,9,0.00961066622740277,0.207254654974958,-0.814514005386594,29,28,5,-0.35675,-1.1193,NA,NA,-1.1114,-0.18885,NA,81,0.9,-0.0219993893342684,0.25727611794791,-1.63683410197541,-1.06599910155001,-1.14503900086096,-1.43190687301243,-0.779018307117992,-0.507272637308374,-1.36382402312332,0.104784205535614,1.28389410651024,NA,NA,NA,1.19732600697777
"8",8,0,11,-0.32129719779793,0.504495523139559,-1.17502890638339,28,30.5,6,0.377,-0.93155,NA,NA,-0.3049,-0.4623,NA,88.5,0.63,-0.761006196718367,1.05720866785922,-2.28884718669591,-0.0997426059929839,-0.644293082117099,-0.69126538697152,0.606813199960197,-0.282419160512953,-0.144783428505618,-0.104784205535614,0.755285840658802,NA,NA,NA,-0.202859055959291
"9",9,0,13,-0.0225365726182302,0.0254127623413522,-0.65103396242856,30,35,5.5,-0.8369,-1.0766,NA,NA,-0.8199,-1.5248,NA,82,0.74,-0.0937928730446059,-0.232095514402955,-1.34117051968078,-0.937164902142404,0.257049571621847,-1.06158612999198,-1.68587622619614,-0.456134190122411,-0.923216046271414,0.314352616606841,-1.29864095571039,NA,NA,NA,0.367586710422476
"10",10,0,15,0.199090662547001,-0.0819222310028911,-0.36155846664541,26,29,5,-0.2497,-0.90825,NA,NA,-1.159,-0.4606,NA,86,0.96,0.401160717651213,-0.520954699382281,-0.817636511974836,-0.421828104511992,-0.944740633363414,-1.43190687301243,-0.576833281110878,-0.254514574577755,-1.43577235827992,-0.523921027678068,0.758572123532993,NA,NA,NA,1.50847824318601
"11",11,0,16,-1.09384306426307,-0.985813112544461,-0.81137650551693,26,28,6,-1.179,-0.9684,NA,NA,-1.18465,-2.0951,NA,81,0.66,-2.48631017526171,-2.95349953138274,-1.63115974298866,-1.06599910155001,-1.14503900086096,-0.69126538697152,-2.33199950874667,-0.326551520672267,-1.4745428372036,-0.523921027678068,-2.40109220462273,NA,NA,NA,-0.0472829378551728
"12",12,0,17,0.238136057945791,0.366603527167868,0.714505744864266,24,30,6,0.0018,-1.3293,NA,NA,-0.576,-0.8958,NA,89.5,0.57,0.488359651655697,0.68611469067129,1.12849094063212,0.0290915934146192,-0.74444226586587,-0.69126538697152,-0.101825957049325,-0.758773197239337,-0.554556404576117,-0.943057849820523,-0.0827162922598298,NA,NA,NA,-0.514011292167528
"13",13,0,18,-0.668721963692649,-0.569980703714522,-0.289857276063008,28,26,7,0.152,-1.48725,NA,NA,-1.1843,-0.3832,NA,90,0.74,-1.53689971561754,-1.83441425490288,-0.687960555944994,0.0935086931184208,-1.54563573585604,0.0493760990693941,0.181856349408112,-0.947937546958841,-1.47401380532745,-0.104784205535614,0.908194649687323,NA,NA,NA,0.367586710422476
"14",14,0,19,0.297334722137106,0.65167400001257,-0.403232933614084,25,29,6,-0.1509,-0.8494,NA,NA,-1.159,-0.8958,NA,88,0.74,0.620566288552298,1.45329435763689,-0.893007315476156,-0.164159705696785,-0.944740633363414,-0.69126538697152,-0.390230006290674,-0.184034536711388,-1.43577235827992,-0.733489438749296,-0.0827162922598298,NA,NA,NA,0.367586710422476
"15",15,0,20,-0.872831456891527,-0.640556278494902,0.41242971204018,29,30,6,0.0734,-0.6793,NA,NA,-0.9551,-0.8958,NA,81,0.62,-1.9927314480243,-2.02434674919321,0.582168096729728,-1.06599910155001,-0.74444226586587,-0.69126538697152,0.0334047562819165,0.0196809168326928,-1.12757350243051,0.104784205535614,-0.0827162922598298,NA,NA,NA,-0.254717761993997
"16",16,1,1,0.246855327527443,0.0324715255533893,0.319377325430675,NA,35,8,0.211,-0.4698,-0.183,0.1386,0.4871,NA,0.10635,93,0.89,0.507832140154081,-0.213099020110998,0.413877206488811,0.48001129134123,0.257049571621847,0.790017585110308,0.293289479108436,0.270582665906678,1.05234013124295,NA,NA,0.00724310607393601,0.398728392562396,-0.413698900490352,1.14546730094307
"17",17,1,2,0.104120627792882,0.0601671638054336,0.0781467929699786,NA,38,9,0.4882,0.5185,0.6485,0.5119,0.7586,NA,1.4007,105,0.08,0.189066930193127,-0.138564711739544,-0.0224028561759568,2.02602168423247,0.857944674114478,1.53065907115122,0.816836318988605,1.45419220581035,1.46271771517191,NA,NA,1.46176813562329,0.936780207459301,2.2353043458867,-3.05508788786813
"18",18,1,3,0.509200417075748,0.163622931702006,0.538920404279563,NA,40,7,0.1044,-0.5909,0.4073,0.6144,0.2156,NA,0.21065,101.5,0.6,1.09371971835061,0.139854728788768,0.810934192686919,1.57510198630586,1.25854140910956,0.0493760990693941,0.0919543668024261,0.125550676346489,0.641962547313988,NA,NA,1.03984217395485,1.08451744567771,-0.200239605402372,-0.35843517406341
"19",19,1,5,0.140355270653333,0.186873207062513,-0.377686902200534,NA,37,7,0.2495,-0.61865,0.3229,-0.4999,-0.1566,NA,0.0639,86.5,0.95,0.269988693161428,0.202425707571438,-0.846805766807123,-0.35741100480819,0.657646306616934,0.0493760990693941,0.366004317980682,0.0923166737841832,0.0793749350180088,NA,NA,0.89220307293986,-0.521566501120095,-0.5005766289322,1.4566195371513
"20",20,1,6,0.283923351113442,0.294204659862205,0.233158722465522,NA,34.5,8,-0.4165,-0.91225,-1.14755,-0.69435,0.1744,NA,0.0639,82,0.66,0.590615067803785,0.491275364261979,0.257945628836492,-0.937164902142404,0.156900387873075,0.790017585110308,-0.891867959653491,-0.259305061433583,0.579687937892724,NA,NA,-1.68002342098779,-0.801834852062241,-0.5005766289322,-0.0472829378551728
"21",21,1,7,0.61405599031657,0.477131170913965,NA,NA,37,8,0.7006,0.0849,-0.183,-0.2797,0.7539,NA,0.6608,NA,0.51,1.32789058837622,0.983565914130049,NA,NA,0.657646306616934,0.790017585110308,1.21799558590977,0.934903430638609,1.45561357283501,NA,NA,0.00724310607393601,-0.204183673259665,0.721032702208886,-0.825163528375764
"22",22,1,8,-0.0259940034157789,0.194090904402271,0.530835874360367,NA,46,10,0.3336,0.21165,0.27975,0.5119,0.7586,NA,0.90475,103.5,0.47,-0.101514251631282,0.221849924278691,0.796312829529514,1.83277038512106,2.46033161409483,2.27130055719213,0.524843745231484,1.08670198288266,1.46271771517191,NA,NA,0.816721707906722,0.936780207459301,1.22029823467977,-1.03259835251459
"23",23,1,9,-0.183167468322503,0.256085194054005,0.239047530703347,NA,34,5.5,-0.2066,-2.43745,0.1077,-0.29215,0.000600000000000003,NA,-0.3534,86,0.9,-0.452525131497596,0.388688523921019,0.268595896034479,-0.421828104511992,0.0567512041243036,-1.06158612999198,-0.495430435516234,-2.08591769956075,0.316985823392345,NA,NA,0.515758350920594,-0.222128342682291,-1.35461846824394,1.19732600697777
"24",24,1,10,0.755873646327427,0.671561869410396,0.534391549423221,NA,38.5,9,0.6239,-0.2224,0.10535,0.5119,0.75625,NA,0.9107,108,0.35,1.64460779154083,1.50681645295959,0.802743483739882,2.41252428245528,0.958093857863249,1.53065907115122,1.07313251729935,0.566874277939632,1.45916564400346,NA,NA,0.511647546567688,0.936780207459301,1.23247544278881,-1.65490282493106
"25",25,1,11,-0.0321102978609377,0.122928267257711,-0.0140097744842988,NA,34,8,0.8183,-0.3721,-0.183,0.8068,0.7586,NA,0.4646,91,0.63,-0.115173592258472,0.0303375318510846,-0.189073603090935,0.222342892526024,0.0567512041243036,0.790017585110308,1.44029523617635,0.387590307360274,1.46271771517191,NA,NA,0.00724310607393601,1.36183105185549,0.319491823050097,-0.202859055959291
"26",26,1,12,0.0758329947839983,-0.0868206175350632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.125892990764634,-0.534137203031011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.825163528375764
"27",27,1,13,0.419353446300848,0.205887217755963,-0.18031198273552,NA,37.5,7,-0.1456,-0.5822,-0.9865,-0.909,-0.1566,NA,-0.00295,84,0.74,0.893067119111056,0.253596080447721,-0.489841242647314,-0.679496503327198,0.757795490365706,0.0493760990693941,-0.38021991158878,0.135969985257915,0.0793749350180088,NA,NA,-1.39830212693016,-1.11121824897523,-0.637391143569127,0.367586710422476
"28",28,1,14,0.47675958938916,0.182679906495954,0.623632479659086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,0.57,1.02127057131031,0.191140726352455,0.964141123741812,0.157925792822222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.514011292167528
"29",29,1,15,0.224792226040095,0.484153077019953,0.61535923815608,NA,26,6,0.5605,-2.7943,-1.3408,-1.8554,-0.1566,NA,0.0639,80,0.96,0.458559264034375,1.00246321883544,0.949178464228716,-1.19483330095761,-1.54563573585604,-0.69126538697152,0.953389120299342,-2.5132890081863,0.0793749350180088,NA,NA,-2.01807148107247,-2.47530139287674,-0.5005766289322,1.50847824318601
"30",30,1,16,0.50083503274308,0.23184610168886,0.401779074778895,NA,41,8,0.211,-0.958,-0.2503,0.0839,0.2156,NA,0.1405,91,0.66,1.07503755137814,0.323456447716583,0.562905772659992,0.222342892526024,1.45883977660711,0.790017585110308,0.293289479108436,-0.314096254847115,0.641962547313988,NA,NA,-0.110483333479487,0.319887154215596,-0.343807865713223,-0.0472829378551728
"31",31,1,17,0.289070869656691,0.318170440420461,0.275146364642578,NA,38,7.5,0.431,-0.4704,-0.5934,0.1423,0.00650000000000001,NA,0.65195,97.5,0.57,0.602110869681451,0.555771905639205,0.333882828714523,1.05976518867544,0.857944674114478,0.419696842089851,0.708802844092697,0.269864092878304,0.325903789304613,NA,NA,-0.710660769003699,0.404061346527354,0.702920384265179,-0.514011292167528
"32",32,1,18,-0.403921145425905,-0.175470546837239,0.0474277138505494,NA,35,8,1.12635,-0.56275,-0.183,-0.4999,0.4523,NA,0.0916,85,0.74,-0.945527830647701,-0.772711274066483,-0.0779601756683065,-0.550662303919595,0.257049571621847,0.790017585110308,2.02210838201,0.159263727594378,0.999739247557025,NA,NA,0.00724310607393601,-0.521566501120095,-0.443886097063197,0.367586710422476
"33",33,1,19,0.50695805140463,0.467436113015898,-0.106848526971773,NA,38,7,0.2495,-0.6916,0.1848,-0.4999,0.0295,NA,-0.4421,86,0.74,1.08871190900017,0.957474641978186,-0.356978123052782,-0.421828104511992,0.857944674114478,0.0493760990693941,0.366004317980682,0.00495016975102213,0.360668741165998,NA,NA,0.650627719264857,-0.521566501120095,-1.53615096560064,0.367586710422476
"34",34,1,20,0.1361504574011,0.172453289747853,0.935850715284304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0.62,0.26059820730419,0.163618926733219,1.52880675712654,-0.550662303919595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254717761993997
